NODE	XCOORD	YCOORD	NAME
156	78756	451169	Leggelostraat
157	78310	450808	Wolweversgaarde
158	78119	450647	Revalidatiecentrum
159	77741	450331	Beresteinlaan
160	77473	450111	De Dreef
161	78503	458042	Strandweg
162	78504	457825	Vuurbaakstraat
163	78692	457520	Duinstraat
164	78699	457146	Doornstraat
165	78512	456915	Statenlaan
166	78495	456380	Willem de Zwijgerlaan
167	78565	456044	Boreelstraat
168	78663	455746	Houtrust
169	78899	455387	Groot Hertoginnelaan
170	79376	455154	Laan van Meerdervoort
171	79536	454960	Weimarstraat
172	79866	454345	Loosduinseweg
173	80300	453554	Haagse Markt
174	80492	453218	Hoefkade
175	82045	454222	Rijswijkseplein
176	77212	456011	Markenseplein
177	77434	455824	Tholensestraat
178	77578	455655	Doctor van Welylaan
179	77732	455162	Sportlaan
180	77978	454738	Goudenregenplein
181	78753	454669	Copernicusplein
182	79079	454621	Weimarstraat
183	79184	454401	Cartesiusstraat
184	79402	454081	Loosduinseweg
185	81628	455406	Korte Voorhout
186	81177	455406	Buitenhof
187	82206	453991	Waldorpstraat
188	82346	453728	Goudriaankade
189	82475	453409	Van Musschenbroekstraat
190	82651	453096	Wenckebachstraat
191	83613	451637	Broekpolder
192	84011	451488	Laan van 's-Gravenmade
193	84576	451073	Laan van Ypenburg
194	85039	450668	Plesmanlaan
195	85674	451079	Scholekstersingel
196	86090	451517	Gruttosingel
197	86719	451186	Nootdorp Centrum
198	78588	456788	Van Boetzelaerlaan
199	78641	456697	Frankenslag
200	78822	456525	Frederik Hendriklaan
201	78983	456377	Statenplein
202	79080	456072	Kunstmuseum/Museon
203	79305	455671	Groot Hertoginnelaan
204	79650	455317	Waldeck Pyrmontkade
205	80039	455436	Van Speijkstraat
206	80270	455143	Elandstraat
207	80641	455051	Noordwal
208	81076	454861	Gravenstraat
209	81959	452706	Jonckbloetplein
210	81493	452443	Van Zeggelenlaan
211	81227	452390	Alberdingk Thijmstraat
212	80933	452257	Station Moerwijk
213	80628	451968	Heeswijkplein
214	80391	451774	Erasmusplein
215	80126	451547	Geysterenweg
216	79954	451407	Betje Wolffstraat
217	79739	451219	Hardenbroekstraat
218	78833	450837	Steenwijklaan
219	79415	449698	Hoge Veld
220	79682	449149	Oosteinde
221	79925	448747	Lage Veld
222	80056	448400	Parijsplein
223	79625	448121	Dorpskade
224	82375	454495	Weteringplein
225	82140	454303	Rijswijkseplein
226	82298	451957	Van Vredenburchweg
227	82519	451525	Generaal Spoorlaan
228	82876	451108	Handelskade
229	83027	450737	Patentlaan
230	82463	450259	Volmerlaan
231	82181	450541	Treubstraat
232	81908	450338	Rijswijk Station
233	81550	450024	In de Bogaard
234	81592	449771	Admiraal Helfrichsingel
235	81671	449299	Weidedreef
236	81199	448916	Aletta Jacobsstraat
237	80792	448702	Eikelenburg
238	86088	455969	Weigelia
239	86413	454912	Oosteinde
240	87366	454089	Oude Middenweg
241	87660	453748	Klaverveld
242	87300	453291	Leidschenveen Centrum
243	86942	452831	Lanen
244	86505	452257	Station Ypenburg
245	86225	451820	Weidevogellaan
246	85116	450494	Ypenburg Centrum
247	84729	450088	Anthony Fokkersingel
248	82156	455132	Centraal Station
249	81604	455614	Malieveld
250	81816	456151	Weissenbruchstraat
251	81542	456354	Wassenaarseweg
252	81368	456723	Groenhovenstraat
253	81291	456962	Oostduinlaan
254	81558	457130	Van der Woertstraat
255	81522	457416	HMC Bronovo
256	81744	457804	Waalsdorperweg
257	82089	457879	Stalpertstraat
258	82236	457890	Theo Mann Bouwmeesterlaan
259	82109	457947	Else Mauhslaan
260	81676	456038	Weissenbruchstraat
261	79389	458680	Kurhausweg
262	79389	458423	Stevinstraat
263	79743	458129	Nieuwe Parklaan
264	79550	457806	Haringkade
265	79360	457532	Rusthoekstraat
266	79219	457230	Scheveningseweg
267	78977	456828	Prins Mauritsplein
268	78960	455938	Cornelis de Wittlaan
269	79060	455551	Valeriusstraat
270	78876	455350	Conradkade
271	78881	454966	Valkenbosplein
272	78755	454343	Weimarstraat
273	78353	454078	Kamperfoeliestraat
274	77917	453902	Laan van Eik en Duinen
275	77596	453719	Perenstraat
276	77201	453419	Thorbeckelaan/Appelstraat
277	76801	453060	Groen van Prinstererlaan
278	76838	452870	Binnentuinen
279	77064	452472	Houtwijklaan
280	77530	452319	Dedemsvaartweg
281	77806	452582	Albert Schweitzerlaan
282	78413	452134	Meppelweg
283	78660	451793	Leyweg
284	78252	451519	Zweeloostraat
285	77905	451250	Hertenrade
286	77903	450894	De Stede
287	78045	450728	Revalidatiecentrum
288	78235	450506	Drapeniersgaarde
289	78429	450223	Vrederustlaan
290	78089	449948	Ambachtsweg
291	77680	449657	Lozerlaan
292	77564	456233	Tesselseplein
293	78046	456375	Nieboerweg
294	78274	456604	Douzastraat
295	78442	456956	Statenlaan
296	78709	457479	Duinstraat
297	78950	457545	Prins Willemstraat
298	79628	458673	Harstenhoekplein
299	79850	458488	Gentsestraat
300	80241	458572	Duinkerksestraat
301	80321	458372	Doorniksestraat
302	80563	458093	Pompstationsweg
303	80573	457644	Badhuisweg
304	80583	457374	Plesmanweg
305	80480	457016	Madurodam
306	80563	456720	Kerkhoflaan
307	80644	456597	Bankaplein
308	80853	456195	Nassauplein
309	81875	454782	Nieuwe Haven
310	81978	453778	Station Hollands Spoor
311	81677	453586	Megastores hoofdingang
312	81448	453374	Megastores
313	81354	453193	Calandplein
314	81687	452965	Neherkade
315	81899	452671	Jonckbloetplein
316	82038	452363	Jan van Beersstraat
317	81583	452061	Ledeganckplein
318	81307	451962	Alberdingk Thijmstraat
319	81583	451260	Van Vredenburchweg
320	81776	450935	Generaal Spoorlaan
321	81920	450784	Dr. H. Colijnlaan
322	81247	449617	Wethouder Brederodelaan
323	81227	449293	Albert Schweitzerlaan
324	80988	449168	Aletta Jacobsstraat
325	80793	449374	Pater Doumenstraat
326	80672	449717	Sir Winston Churchilllaan
327	80587	449999	Prinses Marijkesingel
328	80407	450452	De Schilp
329	81705	454655	Nieuwe Haven
330	81018	458313	Maurits de Brauwweg
331	81729	457669	HMC Bronovo
332	81975	457314	Ruychrocklaan
333	82292	456857	Wassenaarseweg
334	82505	456533	Willem Witsenplein
335	83008	455740	Theresiastraat
336	83152	455533	Juliana van Stolberglaan
337	84601	454685	Spinozalaan
338	84672	454495	Koningin Julianaplein
339	84925	453948	Rozenboomlaan
340	84772	453694	Laan van Heldenburg
341	84443	453615	Voorburg Station
342	84086	453316	Redenburgstraat
343	83856	453135	Diaconessenhuis
344	83485	452794	Binckhorstlaan
345	83262	452625	Bilderdijklaan
346	83048	452494	Herenstraat
347	83013	452187	Esdoornstraat
348	82800	451774	Paulus Potterlaan
349	82618	451571	Hendrik Ravesteijnplein
350	82281	451294	Rijswijkse Schouwburg
351	81934	450957	Huis te Landelaan
352	81502	450375	In de Bogaard
353	81294	450519	Prinses Beatrixlaan
354	80973	450375	Minister van den Tempellaan
355	80374	450584	De Schilp
356	80063	450919	Sammersweg
357	79762	451110	Cannenburglaan
358	79383	451550	Loevesteinlaan
359	79078	451914	Fluitenbergstraat
360	77924	452835	Escamplaan
361	77724	453140	Volendamlaan
362	77507	453310	Okkernootstraat
363	76864	453650	Colijnplein
364	83421	452721	Geestbrug
365	83584	452924	Binckhorstlaan
366	84199	453411	Sonnenburghlaan
367	74854	453705	Kijkduin
368	75224	453621	Kijkduinsestraat
369	75780	453861	Muurbloemweg
370	76075	454011	Arabislaan
371	76351	454188	De Savornin Lohmanlaan
372	76742	454519	Oude Buizerdlaan
373	77009	454695	Vliegenvangerlaan
374	77363	454924	Kwartellaan
375	78048	455367	Eksterlaan
376	78586	455696	Houtrustweg
377	78683	455781	Van Boetzelaerlaan
378	78924	455949	Aert van der Goesstraat
379	79592	455685	Banstraat
380	79930	455649	Laan van Merdervoort
381	80601	455903	Alexanderplein
382	82537	455405	Prins Clauslaan
383	82728	455546	Koningin Marialaan
384	82924	455680	Laan van Nieuw Oost Indi?
385	83213	455890	Spaarwaterstraat
386	83505	456077	De Eerensplein
387	83724	456242	Overbosch
388	84001	456415	Reigersbergenweg
389	84405	456713	Barnsteenhorst
390	84618	456862	Saffierhorst
391	84783	456677	Het Kleine Loo
392	85196	456252	Station Mariahoeve
393	75091	453930	Kijkduin Strand
394	80954	454518	Grote Marktstraat
395	80438	453929	Vaillantplein
396	80192	453598	Haagse Markt
397	79918	453409	Schalk Burgerstraat
398	79676	453265	De la Reyweg
399	79312	453107	Soestdijkseplein
400	78995	452821	Zuiderpark
401	78661	452382	Almeloplein
402	78672	452171	Gramsbergenlaan
403	77664	451040	Vrederustlaan
404	77369	450768	Beresteinlaan
405	77069	450501	Randveen
406	77228	450135	Melis Stokelaan
407	77443	449766	Erasmusweg
408	75372	453293	Teunisbloemplein
409	75366	452770	Westduin
410	76193	452386	Louis Armstrongplein
411	79825	453179	Barneveldstraat
412	80046	452705	Moerweg
413	80582	452476	Melis Stokelaan
414	80983	452310	Station Moerwijk
415	81252	452636	Stieltjesstraat
416	82960	453884	Wegastraat
417	83215	453583	Zonweg
418	83555	453776	Melkwegstraat
419	83773	453531	Saturnusstraat
420	84031	453593	Maanweg
421	77833	457003	Norfolk
422	78016	456574	Dr. Lelykade
423	79236	456647	World Forum
424	82493	454456	Weteringkade
425	82759	454214	Poolsterstraat
426	82076	458299	Oude Waalsdorperweg
427	81805	457967	Waalsdorperweg
428	82124	456713	Van Hoytemastraat
429	81843	456551	Jozef Israelsplein
430	81915	454592	Bierkade
